State/UT,Latitude,Longitude,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2011,2013
ANDAMAN AND NICOBAR ISLANDS,11.66702557,92.73598262,7601,7622,7622,7624,7615,7613,7606,6930,6964,6629,6662,6724,6711
ANDHRA PRADESH,14.7504291,78.57002559,49573,47290,47290,47256,47112,43290,44229,44637,44419,44372,45102,46389,46116
ARUNACHAL PRADESH,27.10039878,93.61660071,64132,69002,68757,68661,68621,68602,68847,68045,68019,67777,67353,67410,67321
ASSAM,26.7499809,94.21666744,25160,24832,24751,24508,24061,23824,23688,27714,27826,27645,27692,27673,27671
BIHAR,25.78541445,87.4799727,28482,26668,26668,26587,26561,4832,4830,5720,5558,5579,6804,6845,7291
CHANDIGARH,30.71999697,76.78000565,2,5,5,5,7,7,7,9,15,15,17,17,17.26
CHHATTISGARH,22.09042035,82.15998734,56075,56024,55912,55805,55757,56435,56693,56448,55998,55863,55870,55674,55621
DADRA AND NAGAR HAVELI,20.26657819,73.0166178,238,206,206,206,204,204,202,219,225,221,211,211,213
DAMAN AND DIU,20.3974,72.8328,0,0,0,0,0,0,0,6,8,8,6,6,9.27
DELHI,28.6699929,77.23000403,15,22,22,22,26,26,88,111,170,176,177,176,179.81
GOA,15.491997,73.81800065,1240,1255,1255,1250,1250,1252,1251,2095,2156,2164,2151,2219,2219
GUJARAT,22.6708,71.5724,11991,11921,11907,12044,12320,12578,12965,15152,14946,14715,14620,14619,14653
HARYANA,28.45000633,77.01999101,513,513,513,513,603,604,964,1754,1517,1587,1594,1608,1586
HIMACHAL PRADESH,31.10002545,77.16659704,12480,12480,12480,12502,12501,12521,13082,14360,14353,14369,14668,14679,14683
JAMMU AND KASHMIR,34.29995933,74.46665849,20905,20449,20449,20443,20433,20440,20441,21237,21267,21273,22686,22539,22538
JHARKHAND,23.80039349,86.41998572,22578,22705,22881,22930,22984,21692,21644,22637,22716,22591,22894,22977,23473
KARNATAKA,12.57038129,76.91999711,32268,32104,32199,32343,32382,32403,32467,36991,36449,35251,36190,36194,36132
KERALA,8.900372741,76.56999263,10292,10292,10292,10336,10336,10334,10323,15560,15577,15595,17324,17300,17922
LAKSHADWEEP,10.56257331,72.63686717,0,0,0,0,0,0,0,27,23,25,26,27,27.06
MADHYA PRADESH,21.30039105,76.13001949,13099,13541,13541,13539,13516,74760,75137,77265,76429,76013,77700,77700,77522
MAHARASHTRA,19.25023195,73.16017493,45616,44044,44044,43859,43843,46143,46672,47482,46865,47476,50650,50646,50632
MANIPUR,24.79997072,93.95001705,17475,17685,17685,17621,17558,17418,17384,16926,17219,17086,17280,17090,16990
MEGHALAYA,25.57049217,91.8800142,16466,15645,15875,15769,15714,15657,15633,15584,16839,16988,17321,17275,17288
MIZORAM,23.71039899,92.72001461,19084,18170,18853,18697,18576,18775,18338,17494,18430,18684,19240,19117,19054
NAGALAND,25.6669979,94.11657019,14394,14399,14321,14348,14291,14221,14164,13345,13609,13719,13464,13318,13044
ORISSA,19.82042971,85.90001746,53253,47227,47205,47145,47107,46941,47033,48838,48366,48374,48855,48903,50347
PUDUCHERRY,11.93499371,79.83000037,0,0,0,0,0,0,0,36,40,42,44,50,50.06
PUNJAB,31.51997398,75.98000281,943,1338,1343,1343,1342,1387,1412,2432,1580,1558,1664,1764,1772
RAJASTHAN,26.44999921,74.63998124,12758,12884,12889,13099,13280,13353,13871,16367,15826,15850,16036,16087,16086
SIKKIM,27.3333303,88.6166475,2756,3041,3041,3119,3127,3129,3118,3193,3262,3262,3357,3359,3358
TAMIL NADU,12.92038576,79.15004187,17472,16992,16992,17005,17045,17064,17078,21482,22643,23044,23338,23625,23844
TELANGANA,18.1124,79.0193,18044,17830,17853,17859,17851,18097,18208,19301,19381,19345,19740,19772,19939.956
TRIPURA,23.83540428,91.27999914,5953,5535,5535,5538,5538,5546,5745,7065,8093,8155,8073,7977,7866
UTTAR PRADESH,27.59998069,78.05000565,31226,33627,33609,33961,33986,10751,10756,13746,14118,14127,14341,14338,14349
UTTARAKHAND,30.32040895,78.05000565,24106,24229,24391,24481,24485,23243,23260,23938,24465,24442,24495,24496,24508
WEST BENGAL,22.58039044,88.32994665,8432,8015,8015,8186,8276,8349,8362,10693,12343,12413,12994,12995,16805
